SUBJECT	MON	YEAR	PAGE	LOCATION	TYPE	MEMO
Brigades	7	1981	7		awards in Wide Bay area	
Honest to Satan - by P.J. Hancox	7	1981	7		letter on Baptist College response by	C.D. Baldwin
Jim Wilson Evangelistic Crusade	7	1981	7		discussions about Brisbane crusade	
Tent Hill BC	7	1981	7		Centenary	
Phillips, Miss Jean	7	1981	8		first aboriginal woman to Haggai Inst.	
Chataway, Rev. and Mrs V.F.	7	1981	9		re-vist Korea	
George Galieh Evangelistic Crusade	7	1981	9		report on Maroochydore BC crusade	photo
Baptist Union of Qld	8	1981	1		Budget and membership positive	
Peck, Rev. George	8	1981	1		Assembly speaker - photo	
Qld Council of Churches	8	1981	1		Baptist representatives - D. Parker	D. Bowen as QCC chaplains
Middlemount	8	1981	2		report on expansion	
Mission to Queensland Development Fund	8	1981	2		launched by F. Stallard	
Family of Churches	8	1981	3		F. Stallard welcomes term 'family of churches'
Kelso, Rev. D	8	1981	3		report on movements as field minister	in evangelism - photo
Baptist Theological College	8	1981	4		annual lecture by Dr D. Pentecost	
Hervey Bay BC	8	1981	4		appoints elders	
Baptist Bible Convention	8	1981	5		plans for next convention	
Gordon Park BC	8	1981	5		baptisms	
Ipswich BC	8	1981	5		report	
Jimboomba BC	8	1981	5		recognized as fellowship under	Beaudesert
South Brisbane Vulture St BC	8	1981	5		music ministry	
Southern Gold Coast BC	8	1981	5		land buy at Mudgeeraba	
Spirit - gifts	8	1981	5	Ipswich	seminar on Gifts of Spirit	
Stanthorpe BC	8	1981	5		R. McKenzine farewelled - baptisms	
Stone, Rev. F.J.C.	8	1981	6		testimonial dinner on retirement from	General Superintendent Baptist Union - photos
Honest to Satan - by P.J. Hancox	8	1981	7		letter of response from H.J. Watts	
Bill Newman Evangelistic Crusade	8	1981	8		crusade in Brisbane northside	
Camp - Currumbin	8	1981	8		property sold for $2m	
Maroochydore BC	8	1981	8		youth growth and Second coming	Convention with D. Pentecost
People of God celebration	8	1981	8		Baptist Union assembly program	
Baptist Community Resources Association	8	1981	10	Arana Hills	report	
Bowen BC	8	1981	10		report	
Mackay BC	8	1981	10		report - photo F. Stallard	
Baptist Theological College	8	1981	11		S. Nickerson appointed principal and	M. Davidson, G. Sunstrom appointed to faculty
Bundaberg BC	8	1981	11		K. McMorrin inducted	
Sweetman, Mr C.G.	8	1981	11		obit	
Camp - Mapleton	8	1981	12		plans for new camp site	
Ipswich BC	8	1981	12		disabled preacher - M. Morgan	by Miss E.M. Byrne
Toowong BC	8	1981	12		centenary announced	
Colledge, Rev. John - President	9	1981	1		Presidential address - photo	
Lay Renewal teams	9	1981	1		plans for visit of US teams	
Chaplaincy - University	9	1981	2		Report on work	
Moore Park BC	9	1981	2		Vietnamese ministry	
Getz, Dr Gene	9	1981	3		Seminars announced by Rev. J. Mills	
Gray, Bob and Heather	9	1981	3	Canon Hill BC	Youth exchange with Japan	Campaigners for Christ
Ashgrove BC	9	1981	4		Honorary pastoral assistants appointed	Rev R.E. Conwell to resume senior pastor
Biloela BC	9	1981	4		growth	
Carey BC	9	1981	4		teaching clinic	
Deception Bay BC	9	1981	4		16th anniversary	
Geebung BC	9	1981	4		Rev. R. McKenzie inducted	
Keperra BC	9	1981	4		Vacation Bible School	
Mail Bag Sunday School	9	1981	4		report	
Tarampa BC	9	1981	4		growth	
Stubbs, Rev. Goerge	9	1981	5		appointed Missions officer	
Arana Districti Baptist Resources Assoc	9	1981	6		training centre - photo Mr T. White MLA	
Commonwealth Games	9	1981	6		plans for witness at Games	
Toogoolawah BC	9	1981	6		report of growth	
Justice	9	1981	7		letter of response on justice issues	by Erica Chataway
Moore Park BC	9	1981	7		report on growth in Vietnamese work	
Evangelistic crusades	9	1981	8	Townsville Moura	reponses reported to work of Field	Evangelist D. Kelso
Legge, Rev. Ralph	9	1981	8		appointed to Burleigh College Adelaide	photo
Salisbury BC	9	1981	8		growth	
Baptist Union of Qld	10	1981	1		New appointments, record budget at	Assembly
Peck, Rev. G.W.	10	1981	1		speaker at Assembly - photo	
Stubbs, Rev. G.	10	1981	1		photo - appointed as Mission office at	assembly
Gin Gin BC	10	1981	2		First baptism reported	
Camp - Mapleton	10	1981	3		plans for new camp site approved	
Social Questions	10	1981	3		Assembly condemns government on gambling	
Stallard, Mr F.W.	10	1981	4		To leave Qld for NSW	
Skinner, Rev. L.	10	1981	5		ABMS work expands - photo L. Skinner	
Tent Hill BC	10	1981	5		Centenary report	
Membership and baptism	10	1981	6		letter	
New Settlers Association	10	1981	6		rally announced - ethnic work	
Prayer at Assembly	10	1981	6		letter by G. Ninness	
Shopping hours	10	1981	6		letter by D. Bennett	
Sex enquiry	10	1981	7		Dr A.J. Munday as Baptist panel member	
Wavell Heights BC	10	1981	7		community church in action	
Bill Newman Evangelistic Crusade	10	1981	8		plans for Northside Tent Crusade	
Christian Endeavour	11	1981	1		Centenary	
Resthaven chapel	11	1981	1		President opens chapel - photo	
Mission to Queensland	11	1981	2		responses to vision of MTQ by John	Merriweather and Lynton Allan
Baptist Theological College	11	1981	3		Dept of Leadership Studies success	
Solomon, Rev W.W.	11	1981	3		Golden Wedding	
Farquhar, Ethel May Mrs	11	1981	4	Moore Park	obit	daughter of Rev A.D. Shaw, mother Rev. R Farquhar
Motor Bike Ride	11	1981	4		The great mission motor bike ride	with Robert Chataway
Getz, Dr G.	11	1981	5		illness causes cancellation of meetings	
Maryborough BC	11	1981	5		98th anniversary	
Rochedale BC	11	1981	5		Bible studies	
Rosalie BC	11	1981	5		Family camp	
Southpore BC	11	1981	5		growth	
Southport BC	11	1981	5		Sunday School program	
Stafford North BC	11	1981	5		Rev. G. Williams accepts call	
Toowong BC	11	1981	5		Centenary	
Aborigines	11	1981	6		letters by Q. Kilpatrick and G.S. Baker	
Membership and Baptism	11	1981	6		letter	
Gailes BC	11	1981	7		building extensions	
Mail Bag Sunday School	11	1981	7		report	
Moore Park BC	11	1981	7		additional church service	
Gladstone BC	11	1981	8		profile of church	
Baptist Bible Convention	12	1981	1		Rev. P. Harrison as speaker	
Baptist Theological College	12	1981	1		graduation with Rev. S. Robinson	
Tanner, Rev. John	12	1981	1		appointed leader of Mission to Qld	
Aborigines	12	1981	3		letter by E. Kyle	
Palm Beach BC	12	1981	3		building extensions - photo	
Palm Beach BC	12	1981	3		extensions opened - photo	
Resthaven - Community Service	12	1981	4		nursing home units - photo	
Gap BC - Boys Brigade	12	1981	5		Queens awards presented - photo	
Bindari Lodge	12	1981	6		relocated to Tarragindi	
Bullpitt, Rev. R.	12	1981	6		study leave in Victoria	
Bundaberg BC	12	1981	6		funds for Gin Gin building from sale of	South Bundaberg
Deception Bay BC	12	1981	6		growth	
Gin Gin BC	12	1981	6		constituted as church	
Ham, Mrs Grace	12	1981	6		farewelled from Community Service office	
Holland Park BC	12	1981	6		missionary service	
Margate BC	12	1981	6		45th Sunday school anniversary	
Palm Beach BC	12	1981	6		evangelism training with D. Kelso	
Toowoomba BC	12	1981	6		missionary weekend	
Wongabeena	12	1981	6		J. Hagan concludes - F. Whitby starts	
Lane, Rev. S.	12	1981	8		50 years of ministry	
Jimboomba BC	12	1981	10		church profile	
Prisons Mission Association	2	1982	1		report - photo Rev. R. Euston	
Neighbour, Rev. Ralph	2	1982	2		seminar for small group work	
Cairns BC	2	1982	3		assistance with manse building	
Deception Bay BC	2	1982	3		outreach report	
Kallangur BC	2	1982	3		offer to conduct VBS	
Baptist Theological College	2	1982	4		accommodation problem	
Hospital Sunday School	2	1982	4		report by Lynton Allan	
Coorparoo BC	2	1982	5		Blind ministry and Baptisms	
Evangelism	2	1982	5		bus poster campaign	
Lawnton BC	2	1982	5		music ministry	
Magnetic Island BC	2	1982	5		baptism	
Maryborough BC	2	1982	5		Rev. A.P. Brady farewelled	
Re-Entry evangelistic crusades	2	1982	5		plans for USA visitors	
Stanthorpe BC	2	1982	5		growth	
Aborigines	2	1982	6		letters by R. Topping and Erica Chataway	
Education Bill	2	1982	6		letter by E. Milne	
Ministerial losses	2	1982	6		letter	
Mail Bag Sunday School	2	1982	8		report - photos	
Morcom, Miss Enid	2	1982	8	Clayfield	obit	
Ethnic work	2	1982	9		feature by Rev. C. Wilcox	
New Settlers Assoc	2	1982	9		report by C. Wilcox	
Camp - Mapleton	2	1982	10		report	
Baptist Union of Qld	3	1982	1		outreach opportunities  Mission to Qld	Development Fund set up
Industrial Chaplaincy	3	1982	3		report - photo Rev L.G. Armstrong	
Competitions	3	1982	4		letter by N. Springall	
Evangelism	3	1982	4		new concept for Field Minister for	Evangelism
Ministerial losses	3	1982	4		letter	
QB - Qld Baptist - headline	3	1982	4		letter by City Tabernacle BC	
Teaching training	3	1982	4		Do it yourself training pack	
Smith, Rev. F.T.	3	1982	5		feature - photo	
North Rockhampton Baptist Fellowship	3	1982	6		Rev K. Legge forms fellowship with	Reformed doctrine - 2 more Baptist causes in area
Baptist Theological College	3	1982	7		record enrolments	
Gin Gin BC	3	1982	7		church formed	
Walker, Rev. R.G.	3	1982	8		obit	
Hancox, Mr P.J.	3	1982	9		seeks lifting of ban on Honest to Satan	
Mackay BC	3	1982	9		report	
Baptist Union of Qld	4	1982	1		accepts government financial grant	
Lay Renewalist Team	4	1982	1		farewelled to USA	
Sex education	4	1982	1		report on churches' lacks	
Rockhampton BC	4	1982	2		120th Anniversary notice	
Stanthorpe BC	4	1982	2		witness at show	
Mackay BC	4	1982	3		outreach to meet development prospects	
Aboriginal issues	4	1982	5		letter from G.S. Baker	
Abortion	4	1982	5		letter by R. Simms	
Ministerial losses	4	1982	5		letter by K. Attwood	
North Rockhampton Baptist Fellowship	4	1982	5		letter contesting accuracy of report	by Rev. J. Tanner
Lane, Rev. S.	4	1982	6		50 years in ministry celebrated	
Lawnton BC	4	1982	6		Rev. A. Cossgrove inducted	
Toowoomba BC	4	1982	6		farewells Rev. R. Hodgson	
Keith, Rev. and Mrs E.V.	4	1982	7		Golden wedding	
Parker, Rev David	4	1982	7		Qld Council of Churches Univ. Chaplain	and lecturer, Qld Bible Institute - photo page 10
City Tabernacle BC	4	1982	8		Cyclone aid	
Stubbs, Rev. George	4	1982	8		inducted as missions officer	
Gladstone BC	4	1982	10		response to team mission	
Jenkins, Rev. B.	5	1982	1		nominated for General Superintendent	
Centenary BC	5	1982	3		report on building needs	
Ministerial losses	5	1982	3		letter by Rev. F. Stone	
North Rockhampton Baptist Fellowship	5	1982	3		further letter of correction	
Baptists and the Reformed Faith	5	1982	4		article by Rev. David Parker	photo Jireh Baptist Church
Gladstone BC	5	1982	6		future plans	
Minden BC	5	1982	6		centenary	
Mission to Queensland	5	1982	6		responses	
People of God	5	1982	6		another study program	
Horne, Mr and Mrs Charles	5	1982	7		retirement from missionary work	
Ashgrove BC	5	1982	8		family camp and baptisms	
Christian education	5	1982	8		training course	
Innisfail BC	5	1982	8		Christian school	
Maroochydore BC	5	1982	8		counsellor training course - baptism	
Nambour BC	5	1982	8		missionary weekend	
Walker, Rev. R.G.	5	1982	8		funeral report	
Yandina BC	5	1982	8		baptisms	
Community Service	5	1982	9		change of staff  for Talera, Lochiel	
Karalee Fellowship	5	1982	9		report on growth	
Reg Jarrott Evangelistic Crusade	5	1982	9		Broadbeach, Bayside	
Smith, Rev and Mrs Kevin	5	1982	9		commences at Kenmore - photo	
Ashgrove BC	5	1982	10		growth reported	
Baptist Union of Qld	6	1982	1		relocate headquarters to Valley	
Charles, Rev. N.	6	1982	1		appointed acting General Superintendent	Baptist Union of Qld
Re-Entry 2 Evangelistic Crusades	6	1982	1		plans for crusade	
Stone, Rev. F.J.C.	6	1982	2		awarded MBE	
New Settler Association	6	1982	3		visit of Rev. A. Jaloshin - photo	
Rockhampton BC	6	1982	3		120th Anniversary	
Ministerial losses	6	1982	4		letter by C. Limpus	
Reformed Theology	6	1982	4		letters by D. McClellan, D. Donaldson	
Shepherd, Mr Garth	6	1982	4		appointed manager Mapleton camp	
Unemployment	6	1982	4		letter by C.D. Baldwin	
Aboriginal issues	6	1982	5		seminar planned by Social Justice Forum	
Nickerson, Rev. S.W.	6	1982	5		Biblical basis of stewardship	
Baptist Theological College	6	1982	6		annual lecture on House Churches	by Rev. Murray Robertson, NZ
Stewarship	6	1982	6		article by Allan Mullaly	
Evangelistic crusades	6	1982	7		reports of crusades at Nambour, Annerley	by Bill Newman & Ian North Ambassadors for Christ
Aged care	6	1982	8		land purchased in Rockhampton	
Aged care	6	1982	8		land purchase in Rockhampton	
Annerley BC	6	1982	8		missionary weekend	
Bundaberg BC	6	1982	8		Family camp with K. Ham Creation Science	
Caloundra BC	6	1982	8		new church opened	
City Tabernacle BC	6	1982	8		outreach	
Gailes BC	6	1982	8		youth training	
Ipswich BC	6	1982	8		goal setting with J. Tanner, D. Kelso	
Margate BC	6	1982	8		P. Kendall inducted	
Palm Beach BC	6	1982	8		evangelism and nurture seminar	
Qld Baptist Men's Society	6	1982	8		annual dinner	
Salisbury BC	6	1982	8		music ministry	
Baptist Union of Qld	6	1982	9		proposal for land development	
Evangelism	6	1982	9		bus poster campaign extended	
Evangelistic Crusade	6	1982	9		Rev D. Kelso at Clontarf	
Honest to Satan - by P.J. Hancox	6	1982	10		book now on open display in Baptist	Book Shop - with disclaimer included
Watts, Pastor H.J.	6	1982	10		wins hymn competition - photo	
Baptist Union of Qld	7	1982	1		Superintendents appointed - B. Jenkins	J. Tanner
Baptist Union of Qld - new address	7	1982	1		new address - 225 Brunswick St Valley	
South Brisbane Vulture St BC	7	1982	1	South Brisbane	fire dmages church	
QB - Qld Baptist	7	1982	2		editorial on new layout	
Rockhampton BC	7	1982	2		120th Anniversary - photo	Mrs H. McDonald, Mrs B. Strelow
Honest to Satan - by P.J. Hancox	7	1982	3		article by Rev David Parker	
Baptist Interest Saving Loan Fund	7	1982	4		letter reporting developments	
Honest to Satan - by Mr P.J. Hancox	7	1982	4		letter of appreciation by author	
Stewardship	7	1982	4		article by Rev. P. Harrison	
Maroochydore BC	7	1982	5		opening of church - sculpture	by Mr H. Anderson
House Church Renewal seminar	7	1982	6	Rochedale BC	seminar to be held	
Burns, Mr E.H.	7	1982	7	Geebung	obit	
Caloundra BC	7	1982	7	Caloundra	church opened	
Chaplaincy - Industrial	7	1982	7		report on ITIM	
Chaplaincy - University	7	1982	8		Chaplain seeks students - Rev. D. Parker	
Jenkins, Rev. B.C.	8	1982	1		greeting and photo	
Aboriginal issues	8	1982	2		report of seminar by E. Chataway	
Aboriginal issues	8	1982	3		letter querying Baptist Union policy	
Baptists and Reformed faith	8	1982	3		letters by D. Donaldson, E. Milne	
Stewardship	8	1982	3		article by Rev. F.J.C. Stone	
Re-Entry evangelistic crusades	8	1982	4		report	
Television	8	1982	4		new promotion by CTA	
Gutke, Mr August	8	1982	5	Coolangatta	obit	
Hervey Bay BC	8	1982	5		63rd anniversary, building plans	
Yugoslav BC	8	1982	5		Baptism service in 3 languages	
Baptist Union of Qld	8	1982	6		Real estate proposal defeated	
Baptist Union of Qld	8	1982	6		relocation of office completed	
Mapleton Camp	8	1982	7		construction begins	
Bill Newman Evangelistic Crusade	8	1982	8		March of witness at Redcliffe	
Ministerial standards	8	1982	8		book on ministerial ethics published	by Rev. Tony Cupit, Victoria
Hogg, Mr M. - President	9	1982	1		presidential address - Love people	
Baptist predictability	9	1982	2		editorial on house church renewal and	cure for Baptist predictability
Chaplaincy - Commonwealth Games	9	1982	2		ministers prepare	
Greenslopes BC	9	1982	2		proceeds of RNA stall to Bribie Island	
Paulson, Rev. G.	9	1982	2		joins National Aboriginal Conference	
Honest to Satan by Mr P.J. Hancox	9	1982	3		letter by K. Attwood	
Stewardship	9	1982	3		article by Mr B. Hohnke	
Broadbeach BC	9	1982	4		constituted	
House churches	9	1982	4		report of conference - Rev M. Robertson	
Yugoslav BC	9	1982	4		constituted as fellowship	
Pfeffer family reunion	9	1982	5	Kalbar	report - address by Rev R. Neibling	
Maroochydore BC	9	1982	6		church opening	
Patino, Rev. A.H.	9	1982	6		farewelled from Silkstone	
Horne, Mr and Mrs C.	9	1982	7		retirement from missionary service	
Mackay BC	9	1982	7		adds to pastoral staff	
Baptist Union of Qld	9	1982	8		growth reported	
House of Freedom	9	1982	8	West End	10 years old	
Broadbeach BC	10	1982	1		constituted - photo	
Dunlop, Rev. D.	10	1982	1		Rotary award	
Broadbeach BC	10	1982	2		church formed - report	
Aboriginal issues	10	1982	3		Assembly calls for advisor roll	papers commissioned
Phillips, Mrs Maud	10	1982	3	Cherbourg	obit	
Townsville BC	10	1982	3		Teach-in held	
Aboriginal issues - land rights	10	1982	4		letter	
Stamps for Missions	10	1982	4		report on progress	
STOP CARE	10	1982	4		letter by P. Robertson	
Kavanagh, John	10	1982	5		life story	
Nanango BC	10	1982	5		Re-Entry evangelistic crusade	
Stone, Rev. F.J.C.	10	1982	5		invested with MBE	
Interest Free Loan Scheme	10	1982	6		report	
Cairns BC	10	1982	7		opening manse - photo	
Worship - guidelines	10	1982	7		address to Assembly by E.G. Gibson	
Baptist Union of Qld	10	1982			Assembly - J. Tanner, R. Wenn inducted	
Nursing home Resthaven	11	1982	1	Brookfield	opening	
South Brisbane Vulture St BC	11	1982	1		restored after fire	
Van Der Heyde, Edith	11	1982	3		feature - photo	
Baptist Union of Qld	11	1982	4		Brunswick House headquarters acquired	
Bribie Island BC	11	1982	4		Constituted	
Parker, David	11	1982	4		Awarded PhD - photo	
Silkstone BC	11	1982	4		70th anniversary with Rev. D.C. Jones	and Rev. R. Farquhar
Warwick BC	11	1982	4		restored Protestant Hall	
Baptist Theological College	12	1982	1		Graduation service with retiring	principal
Baptist Union of Qld	12	1982	1		resource centre now operating	
Centenary BC	12	1982	1		building begins - to be named Jireh	
